Step,Occupied Area (%)
0,0.36734693877551017
1,0.5510204081632654
2,0.7346938775510203
3,0.9183673469387756
4,1.1020408163265307
5,1.2857142857142856
6,1.4693877551020407
7,1.653061224489796
8,1.8367346938775513
9,2.020408163265306
10,2.2040816326530615
11,2.387755102040816
12,2.571428571428571
13,2.7551020408163267
14,2.9387755102040813
15,3.122448979591837
16,3.6734693877551026
17,4.224489795918367
18,4.775510204081632
19,5.326530612244898
20,5.877551020408163
21,6.428571428571428
22,6.959183673469388
23,7.489795918367347
24,8.020408163265307
25,8.551020408163264
26,9.081632653061225
27,9.612244897959183
28,10.142857142857142
29,10.673469387755102
30,11.204081632653061
31,11.73469387755102
32,12.26530612244898
33,13.653061224489797
34,14.73469387755102
35,15.673469387755102
36,16.612244897959183
37,17.551020408163264
38,18.448979591836732
39,19.346938775510203
40,20.244897959183675
41,21.142857142857142
42,22.040816326530614
43,22.93877551020408
44,23.836734693877553
45,24.73469387755102
46,25.63265306122449
47,26.510204081632654
48,27.387755102040817
49,28.244897959183675
50,30.53061224489796
51,32.714285714285715
52,34.83673469387755
53,36.897959183673464
54,38.87755102040816
55,40.79591836734694
56,42.61224489795919
57,44.3469387755102
58,45.9795918367347
59,47.48979591836734
60,48.897959183673464
61,50.204081632653065
62,51.408163265306115
63,52.55102040816326
64,53.673469387755105
65,54.734693877551024
66,55.775510204081634
67,58.14285714285714
68,60.42857142857143
69,62.63265306122449
70,64.81632653061224
71,67.0
72,69.06122448979592
73,71.06122448979592
74,72.93877551020408
75,74.6938775510204
76,76.38775510204083
77,77.87755102040816
78,79.28571428571428
79,80.59183673469389
80,81.83673469387756
81,82.93877551020408
82,83.91836734693877
83,84.81632653061224
84,86.28571428571429
85,87.51020408163265
86,88.57142857142857
87,89.51020408163265
88,90.36734693877551
89,91.14285714285715
90,91.71428571428571
91,92.10204081632654
92,92.38775510204081
93,92.65306122448979
94,92.83673469387756
95,93.0
96,93.14285714285714
97,93.26530612244898
98,93.38775510204081
99,93.51020408163265
