Step,Occupied Area (%)
0,0.36734693877551017
1,0.5510204081632654
2,0.7346938775510203
3,0.9183673469387756
4,1.1020408163265307
5,1.2857142857142856
6,1.4693877551020407
7,1.653061224489796
8,1.8367346938775513
9,2.020408163265306
10,2.2040816326530615
11,2.387755102040816
12,2.571428571428571
13,2.7551020408163267
14,2.9387755102040813
15,3.122448979591837
16,3.693877551020408
17,4.26530612244898
18,4.836734693877551
19,5.408163265306123
20,5.979591836734694
21,6.551020408163264
22,7.122448979591836
23,7.6938775510204085
24,8.26530612244898
25,8.83673469387755
26,9.408163265306122
27,9.979591836734695
28,10.551020408163266
29,11.122448979591837
30,11.693877551020408
31,12.26530612244898
32,12.836734693877553
33,14.122448979591837
34,15.0
35,15.836734693877553
36,16.6734693877551
37,17.489795918367346
38,18.306122448979593
39,19.122448979591837
40,19.918367346938776
41,20.714285714285715
42,21.510204081632654
43,22.306122448979593
44,23.10204081632653
45,23.89795918367347
46,24.6734693877551
47,25.448979591836736
48,26.224489795918366
49,26.95918367346939
50,28.91836734693878
51,30.795918367346935
52,32.59183673469388
53,34.3265306122449
54,36.06122448979592
55,37.714285714285715
56,39.326530612244895
57,40.93877551020408
58,42.55102040816327
59,44.142857142857146
60,45.714285714285715
61,47.224489795918366
62,48.6530612244898
63,50.08163265306123
64,51.469387755102034
65,52.85714285714286
66,54.163265306122454
67,57.16326530612245
68,60.06122448979592
69,62.6734693877551
70,65.18367346938776
71,67.53061224489795
72,69.79591836734694
73,71.91836734693877
74,73.87755102040816
75,75.81632653061224
76,77.6938775510204
77,79.48979591836735
78,81.16326530612244
79,82.6938775510204
80,84.20408163265306
81,85.65306122448979
82,86.9795918367347
83,88.16326530612245
84,89.87755102040816
85,91.20408163265306
86,92.3061224489796
87,93.08163265306122
88,93.6938775510204
89,94.14285714285714
90,94.51020408163265
91,94.77551020408164
92,95.0408163265306
93,95.3061224489796
94,95.51020408163265
95,95.6938775510204
96,95.87755102040816
97,96.0204081632653
98,96.16326530612244
99,96.24489795918367
