Step,Occupied Area (%)
0,0.36734693877551017
1,0.5510204081632654
2,0.7346938775510203
3,0.9183673469387756
4,1.1020408163265307
5,1.2857142857142856
6,1.4693877551020407
7,1.653061224489796
8,1.8367346938775513
9,2.020408163265306
10,2.183673469387755
11,2.3469387755102042
12,2.510204081632653
13,2.673469387755102
14,2.836734693877551
15,3.0
16,3.4693877551020407
17,3.938775510204082
18,4.408163265306123
19,4.877551020408164
20,5.346938775510204
21,5.816326530612245
22,6.2857142857142865
23,6.755102040816327
24,7.224489795918368
25,7.6938775510204085
26,8.16326530612245
27,8.63265306122449
28,9.10204081632653
29,9.571428571428571
30,10.040816326530612
31,10.510204081632653
32,10.979591836734693
33,12.224489795918366
34,13.102040816326529
35,13.938775510204081
36,14.775510204081632
37,15.612244897959185
38,16.448979591836736
39,17.285714285714285
40,18.122448979591837
41,18.959183673469386
42,19.79591836734694
43,20.63265306122449
44,21.428571428571427
45,22.224489795918366
46,23.02040816326531
47,23.816326530612244
48,24.612244897959183
49,25.408163265306122
50,27.48979591836735
51,29.489795918367346
52,31.346938775510203
53,33.16326530612245
54,34.95918367346938
55,36.734693877551024
56,38.44897959183673
57,40.06122448979592
58,41.59183673469388
59,42.95918367346939
60,44.265306122448976
61,45.57142857142858
62,46.816326530612244
63,48.0204081632653
64,49.142857142857146
65,50.22448979591837
66,51.26530612244898
67,53.85714285714286
68,56.285714285714285
69,58.48979591836735
70,60.61224489795919
71,62.63265306122449
72,64.61224489795919
73,66.55102040816327
74,68.44897959183673
75,70.24489795918367
76,71.97959183673468
77,73.63265306122449
78,75.20408163265306
79,76.73469387755102
80,78.10204081632654
81,79.3469387755102
82,80.48979591836735
83,81.51020408163265
84,83.0
85,84.08163265306122
86,85.0
87,85.83673469387755
88,86.53061224489797
89,87.04081632653062
90,87.46938775510205
91,87.79591836734694
92,88.0204081632653
93,88.24489795918367
94,88.46938775510203
95,88.6734693877551
96,88.87755102040816
97,89.0
98,89.08163265306122
99,89.16326530612245
