Step,Occupied Area (%)
0,0.36734693877551017
1,0.5510204081632654
2,0.7346938775510203
3,0.9183673469387756
4,1.1020408163265307
5,1.2857142857142856
6,1.4693877551020407
7,1.653061224489796
8,1.8367346938775513
9,2.020408163265306
10,2.2040816326530615
11,2.387755102040816
12,2.571428571428571
13,2.7551020408163267
14,2.9387755102040813
15,3.122448979591837
16,3.63265306122449
17,4.142857142857142
18,4.653061224489797
19,5.163265306122449
20,5.673469387755102
21,6.183673469387755
22,6.693877551020408
23,7.204081632653062
24,7.7142857142857135
25,8.224489795918368
26,8.73469387755102
27,9.244897959183673
28,9.755102040816327
29,10.26530612244898
30,10.775510204081632
31,11.285714285714285
32,11.795918367346939
33,12.959183673469388
34,13.877551020408163
35,14.653061224489797
36,15.408163265306122
37,16.163265306122447
38,16.918367346938776
39,17.6734693877551
40,18.428571428571427
41,19.183673469387756
42,19.93877551020408
43,20.69387755102041
44,21.448979591836732
45,22.20408163265306
46,22.95918367346939
47,23.69387755102041
48,24.428571428571427
49,25.16326530612245
50,27.142857142857142
51,29.081632653061224
52,30.897959183673468
53,32.6734693877551
54,34.36734693877551
55,36.0
56,37.63265306122449
57,39.265306122448976
58,40.87755102040816
59,42.38775510204081
60,43.755102040816325
61,45.08163265306123
62,46.40816326530612
63,47.734693877551024
64,49.0
65,50.183673469387756
66,51.28571428571429
67,53.734693877551024
68,56.08163265306122
69,58.3469387755102
70,60.55102040816327
71,62.69387755102041
72,64.79591836734694
73,66.83673469387756
74,68.73469387755102
75,70.48979591836735
76,72.14285714285714
77,73.79591836734693
78,75.38775510204083
79,76.93877551020408
80,78.36734693877551
81,79.6938775510204
82,80.9591836734694
83,82.08163265306122
84,84.20408163265306
85,86.0204081632653
86,87.51020408163265
87,88.85714285714286
88,90.04081632653062
89,91.10204081632654
90,92.0
91,92.77551020408164
92,93.24489795918367
93,93.55102040816327
94,93.79591836734694
95,94.0408163265306
96,94.20408163265306
97,94.3265306122449
98,94.42857142857143
99,94.53061224489797
