Step,Occupied Area (%)
0,0.3469387755102041
1,0.5306122448979592
2,0.7142857142857143
3,0.8979591836734694
4,1.0612244897959184
5,1.2244897959183674
6,1.3877551020408163
7,1.5510204081632653
8,1.7142857142857144
9,1.8775510204081631
10,2.0408163265306123
11,2.2040816326530615
12,2.3469387755102042
13,2.489795918367347
14,2.63265306122449
15,2.7755102040816326
16,3.1020408163265305
17,3.428571428571429
18,3.7551020408163263
19,4.081632653061225
20,4.408163265306123
21,4.714285714285714
22,5.0
23,5.285714285714286
24,5.571428571428571
25,5.857142857142858
26,6.142857142857143
27,6.428571428571428
28,6.714285714285714
29,7.000000000000001
30,7.285714285714286
31,7.571428571428572
32,7.857142857142857
33,8.653061224489795
34,9.448979591836734
35,10.16326530612245
36,10.877551020408163
37,11.551020408163264
38,12.183673469387756
39,12.755102040816327
40,13.306122448979593
41,13.795918367346937
42,14.285714285714285
43,14.775510204081632
44,15.244897959183673
45,15.693877551020407
46,16.122448979591837
47,16.551020408163264
48,16.95918367346939
49,17.346938775510203
50,18.448979591836732
51,19.53061224489796
52,20.53061224489796
53,21.489795918367346
54,22.428571428571427
55,23.3265306122449
56,24.20408163265306
57,25.081632653061227
58,25.95918367346939
59,26.816326530612244
60,27.632653061224488
61,28.408163265306126
62,29.142857142857142
63,29.816326530612248
64,30.489795918367346
65,31.16326530612245
66,31.83673469387755
67,33.44897959183674
68,34.97959183673469
69,36.42857142857142
70,37.77551020408163
71,39.06122448979592
72,40.30612244897959
73,41.48979591836734
74,42.61224489795919
75,43.734693877551024
76,44.816326530612244
77,45.795918367346935
78,46.714285714285715
79,47.59183673469388
80,48.46938775510204
81,49.224489795918366
82,49.93877551020408
83,50.63265306122449
84,52.346938775510196
85,53.714285714285715
86,55.02040816326531
87,56.12244897959183
88,57.10204081632653
89,57.938775510204074
90,58.673469387755105
91,59.265306122448976
92,59.836734693877546
93,60.3469387755102
94,60.816326530612244
95,61.26530612244898
96,61.6734693877551
97,62.0
98,62.244897959183675
99,62.48979591836735
